item_id,item_price,product_type,department_name
B15184,1581.0,C874,garden & outdoors
G5680,1468.5,D034,baby
J2520,1280.0,E144,books
G3885,1624.0,F622,garden & outdoors
J573,2589.0,J337,electronics
B11698,1581.0,J189,beauty
D5221,336.0,G681,garden & outdoors
G6990,412.5,C568,books
D0716,1492.0,B0304,garden & outdoors
H2575,2013.0,E222,computers & accessories
B29681,9763.0,I994,books
F9285,1149.0,F267,furniture
B14844,915.5,I445,collectibles
I3394,1324.5,H071,furniture
J5327,2292.5,C167,beauty
J2103,896.0,C719,computers & accessories
G8183,269.0,C111,electronics
J094,540.5,C159,furniture
J3605,896.0,J926,books
C6388,3715.0,E646,computers & accessories
F9726,2298.0,F441,computers & accessories
B2363,889.5,G032,beauty
G5029,2211.0,I768,apps & games
J1344,953.5,F34,collectibles
B24636,4317.0,B073,collectibles
D8692,25568.0,I189,furniture
E8082,1086.0,J008,furniture
B23917,1056.0,C44,garden & outdoors
H7623,4979.5,G325,collectibles
F1987,1051.0,E260,furniture
B2901,1437.0,I890,electronics
H0661,31.5,F217,electronics
H7161,2580.0,B524,baby
J0009,5379.0,B672,beauty
B06022,1137.5,B0146,books
D2965,947.5,E628,books
F5149,1024.0,C106,garden & outdoors
I7445,4547.0,C537,electronics
H5313,892.5,E279,clothing & accessories
B00824,1005.0,H203,garden & outdoors
B24919,5443.0,H962,electronics
B8240,752.0,E297,electronics
B05083,1725.0,B0484,computers & accessories
C5602,2145.5,F604,computers & accessories
B10266,1609.5,J790,baby
G4539,1725.0,J432,collectibles
G3691,2706.0,F783,beauty
G9605,1347.5,H22,computers & accessories
E896,1321.5,I417,computers & accessories
G8114,1411.0,J41,books
J5148,1699.0,D844,baby
D4426,284.5,C839,books
B04672,3020.5,H203,clothing & accessories
B23986,1209.5,B225,books
E7984,1184.0,H182,electronics
H2075,3168.0,C884,garden & outdoors
B376,1531.5,B0356,collectibles
E9332,1584.0,F814,electronics
E7931,1065.5,H103,collectibles
D6974,636.5,J035,apps & games
F2366,2298.0,I814,beauty
J156,1123.0,D134,beauty
G6077,1149.0,B884,baby
E2991,1148.5,B0573,beauty
B07654,864.0,F497,garden & outdoors
B9331,748.5,H195,furniture
H2275,1146.0,F34,garden & outdoors
D2907,3136.0,E757,garden & outdoors
B8210,636.5,I834,clothing & accessories
I6652,1149.0,G840,furniture
B04636,636.5,E746,computers & accessories
E3081,1722.0,H365,books
E2417,1411.0,D047,electronics
H4236,4096.0,C397,furniture
E0842,1273.5,I506,furniture
B22648,1206.5,B049,books
F97,1005.0,H753,baby
E7414,12736.0,D779,baby
B09706,1740.0,J86,electronics
B32106,1411.0,G936,collectibles
E2651,1062.5,D717,apps & games
G1726,1310.0,I577,apps & games
J5587,829.0,H203,collectibles
D6453,1177.5,F94,collectibles
D8769,864.0,C065,baby
I8203,947.5,J444,clothing & accessories
B27696,4579.0,E338,computers & accessories
B05945,1062.5,B0351,clothing & accessories
G0203,3680.0,B0083,books
I9263,92.5,B446,computers & accessories
C154,953.5,G498,baby
J4345,17568.0,D184,garden & outdoors
J9312,704.0,C521,baby
H958,2851.0,B0484,electronics
D643,2563.0,E057,beauty
C9321,2292.0,C431,books
B22389,732.5,B296,furniture
B01226,633.5,F098,beauty
D8209,688.0,B049,furniture
G7371,2133.0,G661,collectibles
I1958,432.0,E645,garden & outdoors
E8806,1699.0,E434,books
I5855,1699.0,B529,clothing & accessories
J4971,1434.0,B0465,electronics
I6582,2960.0,C376,baby
G2965,1987.0,I700,beauty
C9484,1725.0,F774,garden & outdoors
J956,889.5,H916,books
B03456,1852.5,C724,garden & outdoors
H9470,700.5,I506,baby
H2781,1509.0,H753,garden & outdoors
J3256,2563.0,H671,computers & accessories
B07450,924.5,D844,computers & accessories
I6908,574.0,J578,clothing & accessories
J6655,1056.5,H562,collectibles
C1585,924.5,B0405,electronics
D5731,313.5,G936,beauty
J170,734.0,J897,furniture
E5641,2275.0,J035,furniture
B11298,1725.0,C966,clothing & accessories
I2525,1149.0,H049,computers & accessories
I8619,412.5,H652,clothing & accessories
E7441,889.5,J550,apps & games
B23703,604.5,I606,electronics
I3852,648.0,F71,computers & accessories
D0803,1094.0,J156,computers & accessories
H4233,1897.5,B359,furniture
G7067,2013.0,I541,apps & games
H4428,1915.0,G786,garden & outdoors
E9259,1788.0,F760,collectibles
B30694,1062.5,G822,collectibles
E9181,720.0,F622,collectibles
E0461,819.0,C568,collectibles
I4033,1488.0,F425,garden & outdoors
G086,2563.0,C56,beauty
C4733,1987.0,B529,furniture
F1277,406.0,F251,garden & outdoors
B0517,2275.0,G082,clothing & accessories
F0322,2301.0,J658,garden & outdoors
B26347,5702.0,D020,computers & accessories
B27576,1149.0,B62,garden & outdoors
E3179,371.5,B236,baby
E749,532.5,E147,beauty
G8395,5728.0,I052,electronics
I333,31.5,I475,collectibles
B02483,1532.0,G661,garden & outdoors
H0114,1248.0,H069,electronics
H7571,1558.0,B0098,collectibles
G116,2013.0,B0186,baby
F8054,92.5,C31,furniture
I9995,4596.5,B0400,apps & games
D7756,1175.0,I570,furniture
B14278,153.5,J988,electronics
C2119,3588.0,C874,furniture
D5560,2707.0,H966,electronics
D5303,1080.0,C111,collectibles
C8856,279.0,E449,baby
G8817,1203.5,B155,collectibles
D315,2557.0,C455,apps & games
F4914,604.5,C134,collectibles
G2522,1275.5,H291,garden & outdoors
B23232,1437.0,F081,collectibles
I5835,1166.0,E450,garden & outdoors
B19815,49753.5,H261,collectibles
H8692,3797.0,F316,electronics
G9106,1261.0,D766,computers & accessories
B6153,1005.0,C164,clothing & accessories
B8521,889.5,B312,furniture
B31380,720.5,J533,books
B3345,1152.0,B0465,computers & accessories
H0010,1350.5,D839,computers & accessories
F2971,1916.5,H945,electronics
F3565,947.5,D295,beauty
J1266,316.5,D328,baby
G0905,6140.0,D009,furniture
H946,1568.0,J197,collectibles
G7345,1987.0,J227,beauty
B312,26812.5,B0331,furniture
J4917,918.5,E141,computers & accessories
E7079,540.5,I386,collectibles
G5771,4579.0,J333,apps & games
I9688,3741.0,J337,clothing & accessories
B25665,1209.5,F604,computers & accessories
I8382,921.5,J865,computers & accessories
B30811,1060.5,I131,garden & outdoors
D9434,1146.0,C065,clothing & accessories
I6735,1062.5,J780,garden & outdoors
E4700,3715.0,E857,garden & outdoors
B12444,1080.0,B0344,collectibles
B27108,2420.5,I645,baby
G2738,240.0,I04,beauty
C9933,2851.0,F888,apps & games
B30178,866.5,E253,furniture
B02667,773.5,E414,computers & accessories
G6414,1532.5,F441,baby
B17633,1177.5,D934,baby
F342,1411.0,G91,books
B11269,1149.0,G898,baby
B2783,4835.0,J227,beauty
B29722,2301.0,H987,furniture
H698,1437.0,B0484,electronics
G7653,9334.0,B417,apps & games
B7939,11104.0,B417,apps & games
B18326,1725.0,F582,baby
E7759,1722.0,B185,baby
D2299,956.0,D766,furniture
F8038,3715.0,B0335,baby
B23060,3971.0,C97,computers & accessories
B1124,1916.5,H885,beauty
H5928,1699.0,I315,collectibles
D6358,2108.5,G931,apps & games
J1804,700.5,B417,clothing & accessories
G279,1792.0,J008,garden & outdoors
I8771,1065.5,J788,books
D6216,636.5,E628,apps & games
D874,4345.5,F276,furniture
C2436,866.5,B713,furniture
G2846,10704.5,B0304,furniture
F6432,636.5,B008,computers & accessories
B06285,41888.0,G941,collectibles
C5154,813.0,J472,collectibles
B3078,1699.0,D844,beauty
B01849,2016.0,D47,furniture
E4304,892.5,H030,garden & outdoors
D253,1149.0,J173,electronics
F0355,1120.0,G007,computers & accessories
E904,1149.0,H34,baby
F0177,2013.0,H226,computers & accessories
I2914,4380.0,H599,baby
B19185,2093.5,D644,clothing & accessories
B0835,685.0,D392,baby
G2476,947.5,C111,garden & outdoors
C872,1149.0,C164,furniture
B3600,1725.0,F739,furniture
J2386,572.5,G633,baby
F5854,7453.0,B0304,computers & accessories
J9362,1152.0,H738,computers & accessories
H3655,421.0,C636,electronics
F4262,278.0,B207,apps & games
F3398,924.0,B0432,beauty
B2912,2851.0,J035,collectibles
B16802,770.5,E773,furniture
J4491,990.5,F622,computers & accessories
G9994,3020.5,H203,computers & accessories
B28297,2056.0,G0,beauty
B8288,1408.0,F86,baby
J6034,2275.0,C357,clothing & accessories
G3621,2010.0,D784,books
B09830,9278.5,F26,garden & outdoors
B00874,1080.0,C466,electronics
J9666,3948.0,D184,computers & accessories
J3363,109.0,J723,books
D8994,1347.5,E524,computers & accessories
E5144,1648.0,E967,books
J9018,630.5,G608,electronics
D4323,976.0,I797,baby
G4848,1756.5,D755,apps & games
E7493,864.0,D683,electronics
H8394,1146.0,E492,beauty
B32530,1180.5,H923,furniture
I1739,1278.5,E746,furniture
B5257,2499.0,D793,clothing & accessories
D0570,1840.0,I817,furniture
H3948,1392.0,H738,garden & outdoors
I629,764.5,D484,electronics
I190,1566.5,I986,electronics
G00,1008.0,G003,garden & outdoors
C0530,1600.0,C884,computers & accessories
C4476,65077.0,F403,electronics
B05919,858.0,C313,beauty
G7271,947.5,E110,electronics
G0158,2692.5,B845,books
B0368,10208.0,D561,furniture
G9852,588.5,H982,clothing & accessories
B18974,354.0,I570,books
B03858,4838.0,J074,apps & games
B16173,1436.5,F849,computers & accessories
C1039,7040.0,B740,collectibles
B15303,2877.0,D236,computers & accessories
B7176,2848.0,G0,garden & outdoors
F4804,1437.0,C356,baby
J793,1091.5,G640,clothing & accessories
B0552,1987.0,C31,furniture
G7875,2013.0,J658,books
B3513,1031.0,G0,garden & outdoors
F429,1149.0,B931,beauty
D4948,636.5,C189,electronics
C8830,4454.0,F276,electronics
B29024,2473.5,B359,apps & games
H9266,476.5,J13,computers & accessories
B05762,3360.0,H363,computers & accessories
H9578,58924.5,D184,furniture
B06064,2787.0,I774,books
B7105,1766.0,C494,apps & games
I7940,1987.0,D517,clothing & accessories
B5961,979.0,H595,garden & outdoors
F6103,8611.0,B0269,clothing & accessories
J7456,1146.0,C305,books
J2504,1440.0,B0121,collectibles
B16375,3139.0,E057,collectibles
C1233,1916.5,H881,beauty
B13682,353.5,D744,beauty
I8534,89049.5,F403,electronics
B30176,1888.0,E66,electronics
B06836,1005.0,C521,apps & games
B07828,1510.0,H881,garden & outdoors
B27907,1306.5,E097,furniture
B22789,82832.5,F403,clothing & accessories
D2341,486.5,I956,clothing & accessories
I5609,1722.0,D165,furniture
B7511,1981.0,J780,collectibles
F7385,864.0,B0190,books
D5823,5684.5,I932,books
G1122,16288.0,B943,beauty
E9214,5120.0,C331,electronics
E4186,2320.0,J839,furniture
D2561,7008.0,D057,electronics
B10691,1123.0,D05,garden & outdoors
B9885,866.5,B0304,computers & accessories
D8153,950.0,I708,computers & accessories
I8572,20684.5,E282,computers & accessories
B0807,8208.0,E517,computers & accessories
B06732,457.5,J471,clothing & accessories
J3773,1056.0,E423,electronics
J624,31968.0,F293,clothing & accessories
H3936,1059.5,E524,garden & outdoors
B13382,905.5,H768,apps & games
C9705,5043.5,D197,baby
H9972,828.5,E865,collectibles
B369,2848.0,B0239,apps & games
B1827,5155.0,J677,collectibles
B00285,1062.5,G822,computers & accessories
B04155,892.5,C506,garden & outdoors
I8969,732.5,H948,collectibles
B05037,1123.0,F933,baby
B03615,928.0,H291,beauty
I2453,828.5,I41,beauty
J3501,1011.0,B500,baby
E9166,2848.0,H392,collectibles
J3769,1725.0,B20,computers & accessories
I8156,1607.0,E450,furniture
C8612,633.5,H923,baby
C8192,6048.0,H428,garden & outdoors
I5594,1987.0,J035,electronics
E000,2192.0,I817,collectibles
B01734,905.5,H768,furniture
B8841,2073.5,F316,electronics
G0983,835.0,G120,computers & accessories
G8841,2157.0,J86,collectibles
B1343,2672.5,I305,collectibles
F3800,1296.0,B252,books
H464,332.5,E558,computers & accessories
I58,1996.0,C791,baby
B05990,460.5,E144,baby
E7072,313.5,B0152,furniture
B28689,4584.5,C384,computers & accessories
B12646,435.0,H203,apps & games
H2795,688.0,B236,electronics
I9202,2364.5,D050,collectibles
I2459,1002.0,E253,electronics
D6703,3312.0,F84,computers & accessories
E2442,5149.0,B919,garden & outdoors
B15571,956.5,F545,garden & outdoors
F0142,936.0,B588,computers & accessories
F7254,2672.5,B073,baby
G4428,334.0,J977,apps & games
B16059,4220.5,E986,baby
B5011,1497.5,E098,baby
B09004,380.0,D001,collectibles
B778,2298.0,I121,beauty
G844,1149.0,C189,apps & games
H4469,1177.5,E771,clothing & accessories
J0687,432.0,J839,beauty
D3122,1059.5,B392,baby
B3001,964.5,G01,furniture
E2917,1756.5,B0239,baby
B32636,1722.0,C065,baby
E8354,1872.0,I744,beauty
B3921,2457.0,D528,collectibles
G0270,3621.0,D207,baby
B03225,2010.0,E832,baby
B13064,1725.0,D181,books
J2048,1084.5,B0544,baby
J4808,1411.0,D844,books
I1597,2301.0,B192,books
B4990,944.5,D529,electronics
H6633,976.0,E034,beauty
D8587,10560.0,B0185,apps & games
D1513,1771.0,G822,garden & outdoors
B01309,1232.0,H387,baby
B18416,540.5,B0152,electronics
G4335,1996.5,J741,clothing & accessories
C0282,13478.0,D009,electronics
J1026,2874.0,E017,clothing & accessories
B22564,1888.0,B529,books
C0407,3008.0,E240,clothing & accessories
I3380,633.5,G978,beauty
E1397,2546.5,D619,beauty
I7606,1437.0,J629,beauty
G5482,316.5,H233,garden & outdoors
G8228,604.5,B374,clothing & accessories
J6672,860.5,B236,clothing & accessories
B10870,1722.0,C51,clothing & accessories
B8374,704.0,B0271,computers & accessories
E9982,2505.5,D163,clothing & accessories
H4754,1005.0,I997,computers & accessories
I2498,1722.0,C699,books
F1291,1276.5,B0573,electronics
I6598,316.5,F362,baby
E532,1152.0,H388,clothing & accessories
E0144,6500.0,I404,books
D0745,380.5,H233,garden & outdoors
B08816,1722.0,E937,garden & outdoors
E2714,956.5,I570,garden & outdoors
C5774,1987.0,B0077,baby
G0045,1909.0,B878,collectibles
E973,2361.5,E458,apps & games
B6398,1148.5,E956,baby
H0334,384.0,C85,baby
H7926,1136.0,J041,beauty
B07163,316.5,I744,apps & games
B4174,466.5,E850,clothing & accessories
B19109,1049.5,B231,computers & accessories
H8389,1209.5,J870,collectibles
G2972,2589.0,D784,garden & outdoors
B25908,220.5,G673,beauty
B24336,8480.0,D561,beauty
B22411,2860.5,C931,clothing & accessories
B25604,1520.0,H532,apps & games
C0220,864.0,H933,furniture
E7415,76326.0,F403,electronics
G6861,950.0,I749,electronics
H6920,1008.0,E609,clothing & accessories
F2996,8064.0,E051,books
C640,953.5,B921,books
G2555,4416.0,I374,clothing & accessories
C5949,1238.0,J181,garden & outdoors
H5979,3017.5,H170,books
C228,866.5,G608,beauty
E467,601.5,C720,books
I1427,889.5,I663,collectibles
D5254,1913.5,I069,computers & accessories
F9468,441.5,C31,beauty
B5676,1146.0,G607,books
H7507,23968.0,E755,furniture
D7117,5019.5,J441,electronics
E1384,569.5,D113,apps & games
I5035,9504.0,D593,clothing & accessories
G2510,1235.5,I867,garden & outdoors
B1484,4896.0,E998,beauty
B0706,1593.5,B231,books
J8545,3005.0,E924,electronics
H7043,13772.5,F432,beauty
J5208,2298.0,B380,clothing & accessories
B32646,2203.0,J780,clothing & accessories
B01069,1563.5,I606,clothing & accessories
E9045,441.5,H203,electronics
E1537,1264.0,G661,collectibles
B2963,1305.5,B0304,clothing & accessories
B21427,10080.0,I929,books
G8474,1206.5,C375,computers & accessories
B06377,2013.0,E222,computers & accessories
B91,1272.5,C874,clothing & accessories
B0915,2208.0,C09,furniture
B27672,1560.0,D528,apps & games
H2548,4809.5,B073,books
F0581,633.5,G162,electronics
B31494,1900.5,E998,baby
B27445,2684.0,B5,books
C5229,1411.0,B0025,books
B17588,1276.5,E9,apps & games
J06,1296.0,C929,beauty
F4332,4867.0,B0414,electronics
E3076,1339.0,B049,electronics
C6909,80.0,D248,beauty
B2775,633.5,B982,beauty
C8820,976.0,B588,clothing & accessories
J0699,1197.0,G936,garden & outdoors
B12025,640.0,E253,clothing & accessories
D5150,928.0,I274,beauty
C0287,16.0,D062,baby
H2600,2701.0,E068,garden & outdoors
E7757,947.5,G661,computers & accessories
C0753,796.5,E438,electronics
C3684,964.5,G367,garden & outdoors
D5168,825.5,H315,furniture
I9641,720.0,F622,books
C5291,400.0,C111,computers & accessories
E8258,5155.0,C315,baby
D056,316.5,D521,baby
G0598,552.5,B610,electronics
E6838,2589.0,H701,books
B14800,9139.0,C099,furniture
B07168,82832.5,F403,clothing & accessories
H3517,2234.0,D372,baby
B06734,1209.5,D978,computers & accessories
D7226,2301.0,J61,collectibles
B24703,835.0,C779,beauty
G7309,1278.5,J432,clothing & accessories
C0728,316.5,B90,baby
C5140,48384.0,G941,apps & games
B02963,620.5,E292,collectibles
H0198,1117.0,E524,computers & accessories
J1733,1149.0,G077,garden & outdoors
B11658,979.0,E401,garden & outdoors
I810,3488.0,E76,books
I3035,858.0,I495,beauty
B2334,736.0,H753,collectibles
B7050,813.0,H539,books
E8674,224.0,B110,books
G2493,4868.5,I765,clothing & accessories
F2414,2203.0,E998,baby
E4361,5408.0,G597,apps & games
E0427,7328.0,G598,furniture
C1579,230.0,F700,apps & games
J6617,1357.0,C111,furniture
F5494,2301.0,J658,books
J9970,1267.0,D142,beauty
H6054,32000.0,F403,garden & outdoors
J2990,4480.0,J559,baby
D3312,2556.5,B713,apps & games
B04404,928.0,B619,books
I8529,316.5,E988,furniture
B00836,4448.0,G822,apps & games
B28270,2528.0,D045,clothing & accessories
J2376,921.5,B892,furniture
E7458,316.5,H57,furniture
B27595,1091.5,J375,clothing & accessories
B7675,18958.0,J259,baby
H4937,1308.5,B0411,baby
B4423,288.0,C874,collectibles
C9383,476.5,C466,furniture
H7950,432.0,J865,baby
B27323,1725.0,D236,furniture
C5439,947.5,C774,apps & games
H8790,188.5,D327,collectibles
C6096,480.0,C994,baby
C1676,35168.0,D184,garden & outdoors
B30114,1699.0,J606,books
H7856,1088.0,E017,baby
B01728,316.5,D328,baby
B23374,764.5,I834,apps & games
I4737,1437.0,I834,beauty
E2000,1843.0,C906,electronics
B19247,1065.5,B392,beauty
B10295,348.5,C510,baby
G9142,2874.0,C087,baby
C5098,1152.0,E144,furniture
G097,1296.0,H388,beauty
B16329,872.5,C874,clothing & accessories
D6852,1385.0,C056,apps & games
B05324,1372.5,H233,computers & accessories
H1719,1564.5,I857,apps & games
C7047,4115.5,I368,books
B18253,4029.0,I989,clothing & accessories
B24800,1578.0,J927,books
D7748,192.0,E144,clothing & accessories
J3439,1008.0,B892,beauty
B02767,1670.0,E794,furniture
B23045,1699.0,D346,clothing & accessories
B18277,1725.0,C356,collectibles
B0333,1072.0,C180,apps & games
G8079,13700.0,F403,garden & outdoors
C5110,1987.0,C494,clothing & accessories
E0487,12484.5,J259,clothing & accessories
B11739,1411.0,B552,garden & outdoors
B14857,185.5,D635,beauty
B22657,672.0,I411,computers & accessories
I8365,316.5,J035,apps & games
G4535,1477.0,B0304,beauty
E1509,889.5,F276,clothing & accessories
C4400,7904.0,C874,apps & games
E3239,1033.5,H249,apps & games
D5166,608.0,E422,collectibles
E4425,403.0,F688,collectibles
J5328,7648.0,G77,computers & accessories
E3165,2851.0,F544,collectibles
B08457,952.0,D632,collectibles
H4536,672.0,F276,beauty
C2072,2688.0,E017,computers & accessories
J1309,160.0,D272,collectibles
H0743,20128.0,J608,collectibles
I4895,1152.0,E616,garden & outdoors
B19878,570.0,C150,collectibles
E0846,800.0,E144,apps & games
B26895,6336.0,J641,collectibles
B26476,1699.0,G417,garden & outdoors
C2085,483.0,I506,computers & accessories
D9830,508.5,C111,electronics
B20397,1788.5,D062,electronics
D3120,537.5,B0098,garden & outdoors
B0578,1031.0,D392,baby
I1478,640.0,E144,beauty
E710,412.5,I984,books
I1293,1276.5,C164,furniture
B28375,4608.0,F403,apps & games
B19337,1275.5,I986,electronics
B01444,435.0,I481,electronics
I3610,1048.0,F814,garden & outdoors
B14828,828.5,I506,apps & games
G2054,1049.5,G607,electronics
J7872,24508.0,F403,furniture
G7073,185.0,H233,books
B04027,1267.0,J695,baby
B14234,350.0,G648,baby
B04344,400.0,H577,computers & accessories
D1414,1722.0,E47,books
B08999,2016.0,D774,computers & accessories
B22691,1664.0,E90,baby
C6951,540.5,C456,collectibles
B03455,1276.5,G117,apps & games
F1582,3136.0,E757,baby
B32773,138.0,E348,furniture
B206,217.5,H448,baby
B15980,857.5,D35,furniture
G4093,1005.0,F622,collectibles
B04371,30528.0,C953,computers & accessories
D2492,1408.0,J189,beauty
B27659,1725.0,B192,clothing & accessories
B8927,3484.5,C376,garden & outdoors
H8120,928.0,C967,computers & accessories
F5965,457.5,H22,garden & outdoors
B06176,1437.0,H069,garden & outdoors
D3616,1566.5,I899,garden & outdoors
E637,400.0,B236,apps & games
I180,532.5,F739,clothing & accessories
B13826,459.5,I577,garden & outdoors
D2051,7984.0,B417,garden & outdoors
J8274,828.5,I834,books
B26755,444.5,J469,beauty
D312,2553.5,G939,clothing & accessories
B04407,412.5,B231,baby
J7925,4291.0,B0400,clothing & accessories
F0504,1881.5,E422,apps & games
C2884,1600.0,F622,books
H6302,416.0,E077,electronics
I506,889.5,C826,computers & accessories
J2590,2624.0,G62,computers & accessories
J7770,1088.0,F226,books
C1963,473.5,I069,books
H4367,667.5,C134,collectibles
G8987,800.0,B425,books
E5937,1278.5,C111,furniture
B27875,1149.0,F650,electronics
B04794,825.5,D113,electronics
B05988,1725.0,J658,computers & accessories
F4639,604.5,D071,beauty
G6778,918.5,B0116,garden & outdoors
B09136,2233.5,G117,electronics
B14783,11174.0,G878,apps & games
J4033,8832.5,D44,electronics
F2722,156.5,H701,beauty
H7197,380.5,B732,baby
I2152,284.5,C150,collectibles
B20453,803.5,J247,books
H1514,284.5,B0152,books
H1083,1005.0,I500,computers & accessories
D918,1051.0,G303,computers & accessories
B1524,672.0,B0019,books
C1041,1146.0,F055,electronics
B1185,400.0,J848,clothing & accessories
B2734,405.0,I834,clothing & accessories
G0914,947.5,G419,electronics
C4920,1276.5,J341,clothing & accessories
G0440,2563.0,B192,baby
D9087,4592.0,B672,collectibles
B25806,220.5,C72,computers & accessories
B12227,396.5,C724,garden & outdoors
B23213,720.0,E449,books
H6522,662.5,G936,clothing & accessories
E3975,1276.5,B0344,computers & accessories
F9631,354.0,I475,collectibles
B32468,570.0,H467,books
B06657,2013.0,E222,collectibles
H9293,1065.5,C167,baby
F2466,1523.5,E261,garden & outdoors
F5300,2131.0,B859,apps & games
I106,2361.5,I007,apps & games
F6826,3136.0,E389,electronics
B3352,2275.0,D880,computers & accessories
B7943,3200.0,C884,computers & accessories
I5491,688.0,B840,computers & accessories
H483,701.0,C159,baby
J3624,947.5,B071,collectibles
G0935,284.5,H233,beauty
C2902,4579.0,I726,beauty
